"Image Name","PID","Session Name","Session#","Mem Usage"
"MSPCManagerService.exe","11980","Services","0","33,964 K"
"SNAPOSS64.exe","12012","Services","0","152 K"
"WMIRegistrationService.exe","12084","Services","0","20 K"
"svchost.exe","12160","Services","0","9,408 K"
"XtuService.exe","12244","Services","0","7,936 K"
"svchost.exe","12272","Services","0","1,276 K"
"wslservice.exe","12296","Services","0","14,408 K"
"tailscaled.exe","12664","Services","0","7,060 K"
"esif_uf.exe","12800","Services","0","1,932 K"
"LanWlanWwanSwitchingServiceUWP.exe","12880","Services","0","1,268 K"
"wlanext.exe","12892","Services","0","56 K"
"SNAPOS64.exe","12960","Console","1","2,348 K"
"conhost.exe","13144","Console","1","148 K"
"MicrosoftStartFeedProvider.exe","11776","Console","1","1,804 K"
"RuntimeBroker.exe","13300","Console","1","1,164 K"
"RtkAudUService64.exe","13380","Console","1","2,712 K"
"TextInputHost.exe","8840","Console","1","29,860 K"
"AggregatorHost.exe","7024","Services","0","7,700 K"
"PowerToys.AlwaysOnTop.exe","10672","Console","1","264 K"
"PowerToys.Awake.exe","4600","Console","1","3,400 K"
"PowerToys.AdvancedPaste.exe","14832","Console","1","N/A"
"PowerToys.ColorPickerUI.exe","13000","Console","1","N/A"
"tailscaled.exe","14972","Services","0","21,848 K"
"PowerToys.CropAndLock.exe","15192","Console","1","N/A"
"PowerToys.FancyZones.exe","15340","Console","1","588 K"
"PowerToys.KeyboardManagerEngine.exe","3468","Console","1","N/A"
"PowerToys.LightSwitchService.exe","11812","Console","1","1,928 K"
"PowerToys.Peek.UI.exe","14000","Console","1","N/A"
"svchost.exe","12120","Services","0","24,188 K"
"Microsoft.CmdPal.UI.exe","10616","Console","1","2,832 K"
"PowerToys.PowerDisplay.exe","14400","Console","1","3,272 K"
"PowerToys.PowerLauncher.exe","10652","Console","1","6,300 K"
"PowerToys.ShortcutGuide.exe","15396","Console","1","3,748 K"
"SearchIndexer.exe","15604","Services","0","18,380 K"
"svchost.exe","15976","Services","0","1,156 K"
"svchost.exe","16120","Services","0","1,864 K"
"python.exe","11220","Services","0","4 K"
"conhost.exe","3600","Services","0","84 K"
"python.exe","13216","Services","0","66,880 K"
"DSATray.exe","16964","Console","1","4,120 K"
"SecurityHealthSystray.exe","3716","Console","1","N/A"
"SecurityHealthService.exe","3612","Services","0","4,904 K"
"svchost.exe","4372","Services","0","7,748 K"
"cua-driver.exe","13948","Console","1","736 K"
"conhost.exe","10464","Console","1","200 K"
"Microsoft.CmdPal.Ext.PowerToys.exe","5888","Console","1","3,760 K"
"RtkAudUService64.exe","7576","Console","1","440 K"
"svchost.exe","9852","Services","0","5,924 K"
"MSPCManager.exe","8732","Console","1","37,300 K"
"RuntimeBroker.exe","15096","Console","1","824 K"
"msedgewebview2.exe","6484","Console","1","1,508 K"
"msedgewebview2.exe","12952","Console","1","296 K"
"msedgewebview2.exe","2712","Console","1","596 K"
"msedgewebview2.exe","6236","Console","1","476 K"
"msedgewebview2.exe","7948","Console","1","N/A"
"msedgewebview2.exe","9120","Console","1","N/A"
"tailscale-ipn.exe","6828","Console","1","9,688 K"
"svchost.exe","1464","Services","0","7,492 K"
"svchost.exe","4084","Services","0","4,108 K"
"svchost.exe","9080","Services","0","8,056 K"
"svchost.exe","5852","Services","0","17,112 K"
"svchost.exe","2476","Services","0","2,688 K"
"svchost.exe","7484","Services","0","1,872 K"
"UserOOBEBroker.exe","13616","Console","1","4,416 K"
"svchost.exe","4660","Services","0","3,232 K"
"BioIso.exe","11184","Services","0","8 K"
"svchost.exe","17648","Console","1","2,220 K"
"svchost.exe","19008","Services","0","1,276 K"
"dasHost.exe","19376","Services","0","300 K"
"svchost.exe","18824","Services","0","1,768 K"
"svchost.exe","18804","Services","0","1,044 K"
"MsMpEng.exe","15468","Services","0","317,744 K"
"MpDefenderCoreService.exe","7584","Services","0","8,100 K"
"NisSrv.exe","9588","Services","0","6,144 K"
"conhost.exe","18444","Console","1","N/A"
"node.exe","3176","Console","1","N/A"
"cmd.exe","17460","Console","1","N/A"
"node.exe","7356","Console","1","N/A"
"svchost.exe","20060","Services","0","1,176 K"
"svchost.exe","18964","Services","0","2,148 K"
"svchost.exe","11880","Services","0","1,696 K"
"ApplicationFrameHost.exe","4060","Console","1","N/A"
"HPAudioControl_19H1.exe","10512","Console","1","N/A"
"RuntimeBroker.exe","13712","Console","1","776 K"
"svchost.exe","18992","Services","0","1,176 K"
"svchost.exe","20684","Console","1","N/A"
"svchost.exe","12588","Services","0","1,972 K"
"svchost.exe","1076","Services","0","2,808 K"
"ShellExperienceHost.exe","5936","Console","1","N/A"
"RuntimeBroker.exe","7244","Console","1","N/A"
"svchost.exe","18880","Services","0","3,500 K"
"HPAudioAnalytics.exe","21368","Services","0","4,208 K"
"WindowsTerminal.exe","6868","Console","1","30,788 K"
"git.exe","836","Console","1","2,200 K"
"osk.exe","11512","Console","1","19,912 K"
"WindowsPackageManagerServer.exe","6140","Console","1","232 K"
"Docker Desktop.exe","18044","Console","1","N/A"
"com.docker.backend.exe","5700","Console","1","N/A"
"conhost.exe","5712","Console","1","N/A"
"com.docker.backend.exe","2392","Console","1","5,172 K"
"com.docker.build.exe","5576","Console","1","N/A"
"Docker Desktop.exe","19484","Console","1","5,168 K"
"Docker Desktop.exe","16392","Console","1","1,068 K"
"Docker Desktop.exe","16908","Console","1","2,288 K"
"conhost.exe","5220","Console","1","N/A"
"node.exe","23440","Console","1","N/A"
"taskhostw.exe","416","Console","1","3,104 K"
"cmd.exe","24500","Console","1","N/A"
"node.exe","23972","Console","1","N/A"
"docker-agent.exe","15576","Console","1","10,084 K"
"python.exe","10316","Services","0","4 K"
"python.exe","20140","Services","0","4 K"
"conhost.exe","10692","Services","0","152 K"
"conhost.exe","15148","Services","0","152 K"
"cmd.exe","10460","Services","0","8 K"
"python.exe","20216","Services","0","9,660 K"
"python.exe","9872","Services","0","9,624 K"
"cmd.exe","22676","Services","0","4 K"
"conhost.exe","24148","Services","0","152 K"
"conhost.exe","19044","Services","0","148 K"
"cmd.exe","5308","Services","0","8 K"
"cmd.exe","16072","Services","0","8 K"
"conhost.exe","22688","Services","0","152 K"
"cmd.exe","15488","Services","0","4 K"
"conhost.exe","4172","Services","0","152 K"
"conhost.exe","21384","Services","0","140 K"
"cmd.exe","2668","Services","0","8 K"
"conhost.exe","22032","Services","0","152 K"
"cmd.exe","10948","Services","0","8 K"
"conhost.exe","1920","Services","0","152 K"
"node.exe","16944","Services","0","4 K"
"node.exe","12924","Services","0","16 K"
"node.exe","2780","Services","0","16 K"
"node.exe","16208","Services","0","12 K"
"node.exe","3192","Services","0","12 K"
"node.exe","2752","Services","0","4 K"
"node.exe","13656","Services","0","8 K"
"mindstudio.exe","22336","Services","0","9,616 K"
"conhost.exe","16620","Services","0","156 K"
"python.exe","21728","Services","0","4 K"
"conhost.exe","11164","Services","0","140 K"
"python.exe","6760","Services","0","9,448 K"
"cmd.exe","2232","Services","0","4 K"
"conhost.exe","10180","Services","0","152 K"
"node.exe","4156","Services","0","4 K"
