                               Installed Skills                                
┌───────────────────┬───────────────────┬────────┬───────┬────────────────────┐
│ napkin            │ creative          │ local  │ local │ enabled            │
│ penpot-uiux-desi… │ creative          │ local  │ local │ enabled            │
│ plantuml-ascii    │ creative          │ local  │ local │ enabled            │
│ poka-yoke         │ creative          │ local  │ local │ enabled            │
│ power-bi-model-d… │ creative          │ local  │ local │ enabled            │
│ power-bi-report-… │ creative          │ local  │ local │ enabled            │
│ pr-screenshots    │ creative          │ local  │ local │ enabled            │
│ pretext           │ creative          │ local  │ local │ enabled            │
│ resemble-detect   │ creative          │ local  │ local │ enabled            │
│ resx-source-gene… │ creative          │ local  │ local │ enabled            │
│ salesforce-compo… │ creative          │ local  │ local │ enabled            │
│ salesforce-flow-… │ creative          │ local  │ local │ enabled            │
│ scope             │ creative          │ local  │ local │ enabled            │
│ screen-recording  │ creative          │ local  │ local │ enabled            │
│ sketch            │ creative          │ local  │ local │ enabled            │
│ speak-summary     │ creative          │ local  │ local │ enabled            │
│ theme-factory     │ creative          │ local  │ local │ enabled            │
│ touchdesigner-mcp │ creative          │ local  │ local │ enabled            │
│ update-implement… │ creative          │ local  │ local │ enabled            │
│ vcpkg             │ creative          │ local  │ local │ enabled            │
│ vercel-react-vie… │ creative          │ local  │ local │ enabled            │
│ vsdc-video-maski… │ creative          │ local  │ local │ enabled            │
│ web-artifacts-bu… │ creative          │ local  │ local │ enabled            │
│ web-design-guide… │ creative          │ local  │ local │ enabled            │
│ writing-clearly-… │ creative          │ local  │ local │ enabled            │
│ jupyter-live-ker… │ data-science      │ local  │ local │ enabled            │
│ -agents-fix-disc… │ development       │ local  │ local │ enabled            │
│ -agents-fix-repo… │ development       │ local  │ local │ enabled            │
│ -audit-prompts    │ development       │ local  │ local │ enabled            │
│ -pathutil         │ development       │ local  │ local │ enabled            │
│ -pending-skills-… │ development       │ local  │ local │ enabled            │
│ -verify-and-dedu… │ development       │ local  │ local │ enabled            │
│ acquire-codebase… │ development       │ local  │ local │ enabled            │
│ acreadiness-asse… │ development       │ local  │ local │ enabled            │
│ acreadiness-gene… │ development       │ local  │ local │ enabled            │
│ ad-campaign-anal… │ development       │ local  │ local │ enabled            │
│ add-hooks-to-con… │ development       │ local  │ local │ enabled            │
│ add-mcp-servers   │ development       │ local  │ local │ enabled            │
│ agents-system-pr… │ development       │ local  │ local │ enabled            │
│ ai-prompt-engine… │ development       │ local  │ local │ enabled            │
│ ai-ready          │ development       │ local  │ local │ enabled            │
│ ai-team-orchestr… │ development       │ local  │ local │ enabled            │
│ align-tables      │ development       │ local  │ local │ enabled            │
│ analyze-hf-models │ development       │ local  │ local │ enabled            │
│ analyze-prompt-l… │ development       │ local  │ local │ enabled            │
│ analyze-prompt-l… │ development       │ local  │ local │ enabled            │
│ analyze-prompts   │ development       │ local  │ local │ enabled            │
│ analyze-skill-co… │ development       │ local  │ local │ enabled            │
│ apple-appstore-r… │ development       │ local  │ local │ enabled            │
│ apply-pending-me… │ development       │ local  │ local │ enabled            │
│ apply-pending-sk… │ development       │ local  │ local │ enabled            │
│ apply-vscode-cus… │ development       │ local  │ local │ enabled            │
│ arize-annotation  │ development       │ local  │ local │ enabled            │
│ arize-evaluator   │ development       │ local  │ local │ enabled            │
│ arize-instrument… │ development       │ local  │ local │ enabled            │
