skill_name	path	score	rating	dim1	dim2	dim3	dim4	dim5	lines
generate-custom-instructions-from-codebase	development\generate-custom-instructions-from-codebase\SKILL.md	64	WARN	20	16	8	15	5	272
lsp-setup	development\lsp-setup\SKILL.md	80	PASS	20	12	12	18	18	86
make-skill-template	development\make-skill-template\SKILL.md	65	WARN	20	12	8	20	5	182
microsoft-skill-creator	development\microsoft-skill-creator\SKILL.md	80	PASS	20	12	12	18	18	247
prompt-builder	development\prompt-builder\SKILL.md	85	PASS	20	20	12	20	13	123
prompt-engineering	development\prompt-engineering\SKILL.md	73	WARN	20	16	12	20	5	87
rest-graphql-debug	development\rest-graphql-debug\SKILL.md	66	WARN	20	12	12	17	5	533
skill-creator	development\skill-creator\SKILL.md	83	PASS	20	20	8	20	15	92
skills	development\skills\SKILL.md	69	WARN	20	16	8	20	5	143
suggest-awesome-github-copilot-agents	development\suggest-awesome-github-copilot-agents\SKILL.md	63	WARN	20	12	8	18	5	138
suggest-awesome-github-copilot-instructions	development\suggest-awesome-github-copilot-instructions\SKILL.md	63	WARN	20	12	8	18	5	154
update-implementation-plan	development\update-implementation-plan\SKILL.md	71	WARN	20	16	12	18	5	165
using-git-worktrees	development\using-git-worktrees\SKILL.md	79	WARN	20	16	12	18	13	240
vscode-cli	development\vscode-cli\SKILL.md	60	WARN	20	8	12	15	5	223
vscode-ext-commands	development\vscode-ext-commands\SKILL.md	69	WARN	20	16	8	20	5	174
vscode-ext-localization	development\vscode-ext-localization\SKILL.md	69	WARN	20	16	8	20	5	177
vscode-extension-playbook	development\vscode-extension-playbook\SKILL.md	69	WARN	20	12	4	15	18	131
vscode-workspace-configurator	development\vscode-workspace-configurator\SKILL.md	76	WARN	18	16	12	12	18	504
workiq-copilot	development\workiq-copilot\SKILL.md	63	WARN	20	12	8	18	5	129
writing-skills	development\writing-skills\SKILL.md	73	WARN	20	16	12	12	13	686
appinsights-instrumentation	devops\appinsights-instrumentation\SKILL.md	77	WARN	20	20	4	20	13	97
asdf	devops\asdf\SKILL.md	83	PASS	18	20	12	20	13	111
aspire	devops\aspire\SKILL.md	83	PASS	20	16	12	17	18	268
azure-deployment-preflight	devops\azure-deployment-preflight\SKILL.md	84	PASS	20	12	16	18	18	238
azure-devops-cli	devops\azure-devops-cli\SKILL.md	73	WARN	20	16	12	20	5	136
azure-resource-visualizer	devops\azure-resource-visualizer\SKILL.md	83	PASS	20	16	12	17	18	267
azure-role-selector	devops\azure-role-selector\SKILL.md	69	WARN	20	16	8	20	5	132
azure-static-web-apps	devops\azure-static-web-apps\SKILL.md	64	WARN	20	12	12	15	5	355
customization-audit	devops\customization-audit\SKILL.md	65	WARN	20	16	4	20	5	89
datadog	devops\datadog\SKILL.md	73	WARN	20	16	12	20	5	114
dependabot	devops\dependabot\SKILL.md	77	WARN	20	16	8	15	18	474
docker-management	devops\docker-management\SKILL.md	62	WARN	20	12	8	17	5	295
entra-agent-user	devops\entra-agent-user\SKILL.md	66	WARN	20	12	12	17	5	277
fabric-lakehouse	devops\fabric-lakehouse\SKILL.md	75	WARN	18	16	8	20	13	116
git-history-preserving-migration	devops\git-history-preserving-migration\SKILL.md	81	PASS	20	16	12	15	18	117
github-actions-efficiency	devops\github-actions-efficiency\SKILL.md	80	PASS	20	12	12	18	18	101
glab	devops\glab\SKILL.md	85	PASS	20	20	12	20	13	117
hermes-config-merge	devops\hermes-config-merge\SKILL.md	64	WARN	20	12	12	15	5	85
hermes-config-troubleshooting	devops\hermes-config-troubleshooting\SKILL.md	63	WARN	20	12	8	18	5	106
hermes-hooks	devops\hermes-hooks\SKILL.md	74	WARN	20	20	4	17	13	337
hermes-profiles	devops\hermes-profiles\SKILL.md	78	WARN	20	16	12	12	18	789
hermes-setup	devops\hermes-setup\SKILL.md	70	WARN	20	16	12	17	5	402
hermes-skills	devops\hermes-skills\SKILL.md	84	PASS	18	16	12	20	18	211
hermes-system-maintenance	devops\hermes-system-maintenance\SKILL.md	76	WARN	18	16	12	12	18	274
inference-sh-cli	devops\inference-sh-cli\SKILL.md	82	PASS	20	16	8	20	18	168
jira	devops\jira\SKILL.md	75	WARN	18	20	4	20	13	87
kanban-orchestrator	devops\kanban-orchestrator\SKILL.md	60	WARN	20	12	8	15	5	235
kanban-worker	devops\kanban-worker\SKILL.md	68	WARN	20	12	16	15	5	237
lambda-labs-gpu-cloud	devops\lambda-labs-gpu-cloud\SKILL.md	81	PASS	18	16	12	17	18	251
log-analysis-and-triage	devops\log-analysis-and-triage\SKILL.md	77	WARN	15	16	16	12	18	278
modal-serverless-gpu	devops\modal-serverless-gpu\SKILL.md	90	PASS	20	16	16	20	18	223
multi-stage-dockerfile	devops\multi-stage-dockerfile\SKILL.md	69	WARN	20	16	8	20	5	157
parallel-cli	devops\parallel-cli\SKILL.md	66	WARN	20	12	12	17	5	407
powerbi-modeling	devops\powerbi-modeling\SKILL.md	80	PASS	20	16	8	18	18	191
profile-maintenance	devops\profile-maintenance\SKILL.md	85	PASS	20	20	12	15	18	272
projects-multi-repo-init-normalize	devops\projects-multi-repo-init-normalize\SKILL.md	81	PASS	20	20	8	20	13	102
prompt-batch-fixer	devops\prompt-batch-fixer\SKILL.md	64	WARN	20	12	12	15	5	102
provider-model-audit	devops\provider-model-audit\SKILL.md	60	WARN	20	12	8	15	5	174
provider-reliability-diagnostics	devops\provider-reliability-diagnostics\SKILL.md	82	PASS	17	16	16	15	18	214
rbac-audit-logging	devops\rbac-audit-logging\SKILL.md	69	WARN	20	16	8	20	5	160
secret-scanning	devops\secret-scanning\SKILL.md	79	WARN	20	16	8	17	18	271
service-integrations	devops\service-integrations\SKILL.md	76	WARN	20	16	12	15	13	249
session-audit-report	devops\session-audit-report\SKILL.md	65	WARN	20	12	8	20	5	151
snowflake-semanticview	devops\snowflake-semanticview\SKILL.md	73	WARN	20	16	12	20	5	87
terraform-azurerm-set-diff-analyzer	devops\terraform-azurerm-set-diff-analyzer\SKILL.md	86	PASS	20	20	8	20	18	82
validate-memories	devops\validate-memories\SKILL.md	90	PASS	20	20	12	20	18	159
watchers	devops\watchers\SKILL.md	75	WARN	18	12	12	15	18	132
webhook-subscriptions	devops\webhook-subscriptions\SKILL.md	61	WARN	20	12	12	12	5	253
windows-maintenance-operations	devops\windows-maintenance-operations\SKILL.md	71	WARN	18	16	12	12	13	292
work-on-ticket	devops\work-on-ticket\SKILL.md	67	WARN	18	16	8	20	5	92
workspace-audit	devops\workspace-audit\SKILL.md	65	WARN	20	12	8	20	5	211
django-application	django-application\SKILL.md	73	WARN	18	12	8	15	20	103
django-celery	django-celery\SKILL.md	67	WARN	18	12	12	12	13	480
domain-intel	domain-intel\SKILL.md	75	WARN	18	12	12	15	18	123
drawio-skill	drawio-skill\SKILL.md	73	WARN	20	16	12	20	5	88
drug-discovery	drug-discovery\SKILL.md	72	WARN	18	12	12	12	18	253
duckduckgo-search	duckduckgo-search\SKILL.md	67	WARN	18	12	12	12	13	261
himalaya	email\himalaya\SKILL.md	83	PASS	20	16	12	17	18	322
evm	evm\SKILL.md	75	WARN	18	12	12	15	18	238
excel-author	excel-author\SKILL.md	68	WARN	18	12	8	12	18	275
faiss	faiss\SKILL.md	67	WARN	18	12	12	12	13	260
fastmcp	fastmcp\SKILL.md	74	WARN	18	12	12	12	20	332
fitness-nutrition	fitness-nutrition\SKILL.md	72	WARN	18	12	12	12	18	274
optimizing-attention-flash	flash-attention\SKILL.md	72	WARN	18	12	12	12	18	400
minecraft-modpack-server	gaming\minecraft-modpack-server\SKILL.md	63	WARN	20	12	8	18	5	211
pokemon-player	gaming\pokemon-player\SKILL.md	63	WARN	20	12	8	18	5	241
codebase-inspection	github\codebase-inspection\SKILL.md	69	WARN	20	16	8	20	5	148
finishing-a-development-branch	github\finishing-a-development-branch\SKILL.md	63	WARN	20	16	4	18	5	102
gh-cli	github\gh-cli\SKILL.md	73	WARN	20	16	12	20	5	87
